,Open,High,Low,Close,Adj Close,Volume
2022-01-03,151.32535751681692,151.91226771989093,151.25797158381775,151.79582715026066,151.49342830602245,3323659
2022-01-04,152.00207502832976,152.1061878954076,151.61477078280907,150.93154656116803,151.7168997036801,3403215
2022-01-05,153.04035703859134,154.7472211734189,152.96120903440558,154.41375140982927,153.5122767798815,1764121
2022-01-06,157.27554297059058,158.1576923175296,157.01945888477456,156.91947390550285,157.05833649269752,3873817
2022-01-07,156.61815221913298,157.62779570165782,157.04675804850658,156.72582725976292,157.09002974325085,2739183
2022-01-10,156.56557468355052,158.48046734391457,156.09128240891667,157.87463150696647,157.1217558293525,2169748
2022-01-11,159.88294512900598,162.1773458879161,160.62881198579691,160.4606246980482,160.7801814603673,4502630
2022-01-12,164.34088087592394,163.50545020297486,161.95225393288263,163.76322774403542,162.8150509186731,3582115
2022-01-13,162.74301156390015,162.99231796377126,161.8314347024848,163.35569509764406,162.3761021468032,2504544
2022-01-14,164.17071909660748,164.59163485800477,161.9443346897882,162.62641839575613,163.96122223397512,4464445
2022-01-17,162.65882506031824,164.44962822834657,163.12497343048108,164.64364705057312,163.5343868483502,2107677
2022-01-18,162.8680790076204,163.34903102349986,162.4649540710589,161.64089136970782,163.1029273412097,2544548
2022-01-19,163.09962267666882,165.13863535135764,162.98519517034538,165.25843241122425,164.08685188434174,1288790
2022-01-20,160.2691278662767,161.00765914588627,160.696673635076,162.7886485872564,160.76029139502617,1890617
2022-01-21,156.6013333404391,157.87593308375756,157.17260263327066,158.6852901682692,157.8104557300001,3644489
2022-01-24,158.7750248037207,157.99329803260093,156.71173509039468,155.02890002681846,157.18588067151813,4880693
2022-01-25,154.90331234033772,156.50074568110088,155.19571150534682,156.72378415023533,155.6602184308493,2408836
2022-01-26,155.91363427317174,156.8272048160596,155.83838212784315,159.03484206197587,156.78871309603986,2641249
2022-01-27,154.14705466949485,155.91614483748273,155.15485977579556,155.1696333039994,155.47266494499743,1650419
2022-01-28,152.37685208074515,153.23071350177187,152.51854099427777,153.11335422229698,153.14805754232685,3530526
2022-01-31,156.0844616526047,156.7702665715583,156.38450225896813,155.39086835824352,156.57935508016996,3817929
2022-02-01,156.57832292641368,156.94077663101373,156.46912803548625,156.93988189801655,156.62780247919687,4693305
2022-02-02,156.61753667937526,158.45712931541848,157.2212373952802,158.53203607111587,157.26285888857274,4518098
2022-02-03,153.31275150711818,155.19054409550455,154.35730586831696,155.61109964429525,154.9133625161458,1887225
2022-02-04,152.81002222327922,155.0429004832662,153.7826979427069,157.46656404438326,154.32459706709545,1271967
2022-02-07,155.72610191567858,155.95232985800567,154.4075512005784,155.07946928948095,155.04644224651517,1191232
2022-02-08,153.12166634251307,153.9169229410411,151.67714722503163,151.61378172425532,153.24445509167057,2352695
